Date,Open,High,Low,Close,Adj Close,Volume
2021-08-05,7.480000,7.600000,7.180000,7.240000,7.223510,98849900
2021-08-06,7.250000,7.350000,7.030000,7.100000,7.083829,28799900
2021-08-09,7.180000,7.310000,7.070000,7.070000,7.053898,14491100
2021-08-10,7.120000,7.160000,7.050000,7.100000,7.083829,9988600
2021-08-11,7.130000,7.140000,6.800000,6.870000,6.854353,31978000
2021-08-12,null,null,null,null,null,null
2021-08-13,6.980000,7.040000,6.860000,7.010000,6.994035,21141500
2021-08-16,6.970000,7.120000,6.780000,7.020000,7.004012,13434600
2021-08-17,6.930000,6.990000,6.760000,6.820000,6.804467,17772000
2021-08-18,6.830000,7.000000,6.720000,6.810000,6.794490,8841700
2021-08-19,6.700000,6.930000,6.420000,6.930000,6.914217,5423700
2021-08-20,6.890000,7.050000,6.830000,6.980000,6.964103,3109200
2021-08-23,7.040000,7.200000,7.010000,7.170000,7.153670,6128800
2021-08-24,7.240000,7.400000,7.180000,7.250000,7.233488,6054100
2021-08-25,7.320000,7.380000,7.260000,7.340000,7.323283,5190100
2021-08-26,7.340000,7.380000,7.100000,7.100000,7.083829,7968100
2021-08-27,7.150000,7.240000,7.120000,7.190000,7.173625,5881000
2021-08-30,7.250000,7.280000,7.090000,7.110000,7.093807,4966000
2021-08-31,7.150000,7.150000,7.010000,7.100000,7.083829,3704100
2021-09-01,7.100000,7.150000,7.030000,7.070000,7.053898,6468600
2021-09-02,7.070000,7.090000,6.770000,6.800000,6.784513,3746900
2021-09-03,6.840000,7.000000,6.730000,7.000000,6.984057,3705400
2021-09-06,6.940000,7.020000,6.880000,6.930000,6.914217,1654400
2021-09-08,6.930000,6.930000,6.420000,6.530000,6.515128,10251100
2021-09-09,6.530000,6.620000,6.350000,6.410000,6.395401,5428200
2021-09-10,6.540000,6.690000,6.370000,6.500000,6.485196,5905500
2021-09-13,6.750000,7.000000,6.720000,6.950000,6.934171,8999600
2021-09-14,7.060000,7.380000,7.060000,7.190000,7.173625,9730300
2021-09-15,7.240000,7.380000,7.140000,7.240000,7.223510,7265900
2021-09-16,7.200000,7.290000,7.000000,7.120000,7.103784,6142600
2021-09-17,7.100000,7.240000,6.780000,7.240000,7.223510,16008100
2021-09-20,6.990000,7.170000,6.880000,7.110000,7.093807,9065700
2021-09-21,7.200000,7.400000,7.110000,7.280000,7.263420,11102500
2021-09-22,7.330000,7.440000,7.260000,7.310000,7.293351,10254600
2021-09-23,7.380000,7.420000,7.190000,7.230000,7.213533,6341600
2021-09-24,7.190000,7.230000,6.990000,7.000000,6.984057,5138200
2021-09-27,7.000000,7.190000,6.920000,7.150000,7.133716,6343700
2021-09-28,7.100000,7.120000,6.940000,6.940000,6.924194,6782400
2021-09-29,7.050000,7.090000,6.850000,6.850000,6.834399,6482600
2021-09-30,6.900000,7.200000,6.870000,7.100000,7.083829,15990100
2021-10-01,7.180000,7.450000,7.180000,7.370000,7.353214,15528000
2021-10-04,7.400000,7.430000,7.020000,7.020000,7.004012,12019000
2021-10-05,7.140000,7.220000,7.080000,7.130000,7.113761,12888200
2021-10-06,7.070000,7.100000,6.880000,6.990000,6.990000,10376100
2021-10-07,7.110000,7.330000,7.030000,7.130000,7.130000,18438800
2021-10-08,7.200000,7.530000,7.120000,7.140000,7.140000,20480700
2021-10-11,7.200000,7.250000,7.030000,7.030000,7.030000,10407400
2021-10-13,7.070000,7.120000,7.030000,7.050000,7.050000,8146000
2021-10-14,7.070000,7.220000,7.060000,7.150000,7.150000,10992200
2021-10-15,7.170000,7.190000,7.040000,7.100000,7.100000,34203500
2021-10-18,7.080000,7.090000,6.960000,6.980000,6.980000,7596500
2021-10-19,6.980000,7.000000,6.670000,6.690000,6.690000,11473400
2021-10-20,6.800000,6.840000,6.610000,6.680000,6.680000,6234400
2021-10-21,6.560000,6.610000,6.190000,6.430000,6.430000,12472300
2021-10-22,6.340000,6.400000,5.880000,6.370000,6.370000,18890200
2021-10-25,6.430000,6.650000,6.280000,6.630000,6.630000,11428100
2021-10-26,6.600000,6.640000,6.430000,6.580000,6.580000,8470300
2021-10-27,6.600000,6.750000,6.550000,6.630000,6.630000,7675900
2021-10-28,6.510000,6.820000,6.480000,6.780000,6.780000,8299700
2021-10-29,6.740000,6.810000,6.610000,6.780000,6.780000,3926300
2021-11-01,6.750000,6.860000,6.730000,6.790000,6.790000,5059700
2021-11-03,6.770000,7.000000,6.700000,6.900000,6.900000,5711600
2021-11-04,6.900000,6.970000,6.610000,6.750000,6.750000,8687600
2021-11-05,6.790000,6.850000,6.720000,6.750000,6.750000,3123600
2021-11-08,6.800000,6.830000,6.720000,6.770000,6.770000,3898000
2021-11-09,6.780000,6.980000,6.730000,6.730000,6.730000,5176300
2021-11-10,6.740000,6.800000,6.500000,6.500000,6.500000,10074000
2021-11-11,6.600000,6.830000,6.570000,6.800000,6.800000,8604300
2021-11-12,null,null,null,null,null,null
2021-11-16,6.550000,6.580000,5.910000,6.020000,6.020000,27445700
2021-11-17,6.070000,6.180000,5.660000,5.850000,5.850000,24600900
2021-11-18,5.900000,6.040000,5.740000,5.840000,5.840000,17735600
2021-11-19,null,null,null,null,null,null
2021-11-22,null,null,null,null,null,null
2021-11-23,5.660000,5.770000,5.410000,5.670000,5.670000,9084200
2021-11-24,5.570000,5.680000,5.460000,5.570000,5.570000,8397000
2021-11-25,5.600000,6.080000,5.430000,6.080000,6.080000,20546100
2021-11-26,5.700000,6.040000,5.680000,5.910000,5.910000,8564200
2021-11-29,5.980000,6.100000,5.790000,5.790000,5.790000,7811800
2021-11-30,5.740000,5.800000,5.420000,5.470000,5.470000,9234600
2021-12-01,5.540000,5.650000,5.500000,5.650000,5.650000,1039600
